ifam,ID,OnlineManual,isOut,whyOut,sex,Age,zygosity,el_BFI1,el_BFI2,el_BFI3,el_BFI4,el_BFI5,el_BFI6,el_BFI7,el_BFI8,el_BFI9,el_BFI10,el_BFI11,el_BFI12,el_BFI13,el_BFI14,el_BFI15,el_BFI16,el_BFI17,el_BFI18,el_BFI19,el_BFI20,el_BFI21,el_BFI22,el_BFI23,el_BFI24,el_BFI25,el_BFI26,el_BFI27,el_BFI28,el_BFI29,el_BFI30,el_BFI31,el_BFI32,el_BFI33,el_BFI34,el_BFI35,el_BFI36,el_BFI37,el_BFI38,el_BFI39,el_BFI40,el_BFI41,el_BFI42,el_BFI43,el_BFI44,el_BFI6_Rev,el_BFI21_Rev,el_BFI31_Rev,el_BFI2_Rev,el_BFI12_Rev,el_BFI27_Rev,el_BFI37_Rev,el_BFI8_Rev,el_BFI18_Rev,el_BFI23_Rev,el_BFI43_Rev,el_BFI9_Rev,el_BFI24_Rev,el_BFI34_Rev,el_BFI35_Rev,el_BFI41_Rev,EMPQ_emotional,EMPQ_cognitive
1015,4,0,0, ,1,11.23229041,1,1,1,5,1,5,3,1,5,4,5,5,5,5,3,4,4,3,1,1,5,4,4,1,5,4,5,4,3,3,5,1,3,4,4,4,4,1,5,3,5,1,5,1,3,3,2,5,5,1,2,5,1,5,5,5,2,1,2,2,5,3.727272727,4.333333333
1017,1,0,0, ,2,11.26242363,3,4,4,4,2,4,2,4,4,1,4,4,5,5,2,4,2,4,4,3,5,4,2,5,4,4,5,2,4,4,5,5,2,2,1,2,5,4,3,5,4,5,4,4,3,4,2,1,2,1,4,2,2,2,1,2,5,2,5,4,1,3.090909091,3.444444444
1017,4,0,0, ,1,11.25983757,3,4,1,4,1,2,5,5,5,5,5,5,1,3,4,4,4,5,1,4,5,5,5,1,2,4,4,3,4,2,4,5,5,4,4,2,5,4,1,1,2,4,4,4,1,1,1,1,5,5,3,2,1,5,5,2,1,4,2,4,2,3.454545455,2.666666667
1019,1,0,0, ,2,11.66714804,3,4,2,4,2,3,2,4,3,4,4,4,2,5,4,3,3,4,2,4,3,2,4,1,3,3,3,2,4,3,3,2,4,4,4,3,5,2,3,3,3,3,4,2,3,4,4,4,4,4,4,4,3,4,5,4,2,3,2,3,3,3.363636364,3.444444444
1019,4,0,0, ,1,11.59933135,3,3,5,4,2,3,3,5,1,4,5,4,2,4,4,3,4,4,1,3,3,4,3,1,4,3,4,2,4,4,3,4,4,4,4,4,5,3,4,2,4,3,4,3,2,3,2,2,1,4,4,3,5,5,5,3,2,2,2,2,3,3.272727273,3.666666667
1020,1,0,0, ,2,11.34674284,2,2,4,5,3,4,4, ,4,4,4,5,4,5,4,4,2,4,2,4,4,3,4,1,4,4,3,5,5,4,3,4,5,4,1,3,4,4,4,5,3,2,3,2,1,2,3,2,2,2,1,2,2,4,5,4,2,2,5,3,4, , 
1020,4,0,0, ,2,11.34675473,2,3,3,3,2,4,4,3,4,3,4,4,4,3,4,3,3,4,2,4,4,5,3,2,4,5,3,4,3,4,4,3,4,3,2,3,4,4,3,4,3,3,3,4,3,2,1,3,3,2,2,2,2,4,4,2,3,2,4,3,3, , 
1021,1,0,0, ,1,11.42164759,1,2,4,2,2,4,3,4,3,3,5,3,2,4,4,3,3,5,5,2,4,3,3,4,3,4,3,3,2,3,1,4,3,3,4,1,3,4,4,4,5,4,3,4,3,3,3,2,2,4,3,2,3,1,2,2,3,3,2,5,2, , 
1021,4,0,0, ,1,11.42423955,1,4,2,3,1,5,2,3,3,4,5,5,3,5,5,5,4,1,3,3,5,3,3,2,1,5,5,3,3,5,3,2,4,4,3,1,5,5,4,4,5,1,3,3,5,4,3,4,4,3,3,1,3,3,4,3,2,5,3,5,5,2.727272727,3.111111111
1023,4,0,0, ,2,11.42078818,3,3,2,4,1,4,2,3,2,3,4,4,2,4,2,3,4,3,2,2,4,1,3,3,2,4,3,2,4,4,4,3,3,4,3,4,5,2,4,3,4,2,4,2,4,4,5,3,4,4,4,4,4,4,3,4,3,4,3,2,4, , 
1025,1,1,0, ,1,11.55646817,1,3,1,4,1,3,5,3,5,4,3,2,1,1,4,3,2,4,1,3,4,2,3,1,3,4,1,2,4,5,3,3,4,4,3,4,4,3,4,2,3,1,5,4,3,1,4,3,5,5,4,3,1,5,5,2,2,3,3,2,5, , 
1025,4,1,0, ,1,11.55646817,1,3,3,3,1,3,4,3,2,3,4,4,3,4,3,3,3,4,2,2,3,2,3,3,3,2,4,2,3,2,4,2,3,3,3,3,4,3,4,4,4,2,4,3,3,2,4,4,3,3,4,3,4,4,3,3,3,3,3,3,4, , 
1026,1,0,0, ,1,11.45323678,2,3,4,4,1,5,4,4,4,5,4,3,4,5,5,4,4,4,3,4,4,3,4,3,4,4,5,3,4,3,4,4,4,4,5,2,5,5,4,3,3,4,4,4,5,2,3,2,2,2,3,1,2,3,3,2,1,2,1,4,2,3.909090909,4.444444444
1026,4,0,0, ,1,11.45336889,2,4,4,3,2,3,3,2,4,3,4,4,4,4,2,3,4,3,4,4,4,2,3,3,4,3,4,4,3,4,3,4,3,3,3,3,4,4,3,3,4,2,3,3,3,3,4,2,2,2,2,2,2,2,3,3,3,2,3,3,4,3.090909091,3.666666667
1027,1,0,0, ,2,11.45966972,2,2,5,5,1,5,5,5,2,5,5,5,1,5,5,5,4,5,1,5,5,4,5,3,5,5,5,1,5,3,5,1,5,5,3,5,5,1,5,2,5,1,5,1,5,1,2,5,1,5,5,5,4,5,3,5,1,1,3,1,5,3.363636364,4.333333333
1027,4,0,0, ,2,11.49725347,2,4,4,3,3,3,4,4,4,2,3,4,2,5,4,3,3,4,1,5,5,4,4,3,3,3,2,4,3,4,3,4,5,3,3,3,5,3,2,3,3,3,4,4,4,2,2,2,2,4,2,3,2,5,3,2,4,3,3,3,3,3.272727273,3.666666667
1030,1,0,0, ,1,11.30960666,3,3,4,4,2,4,5,5,5,4,4,4,4,5,4,4,3,4,4,2,4,4,4,3,4,4,4,3,4,3,4,3,4, ,3,3,5,4,3,4,4,3,4,4,5,1,2,3,2,2,3,2,1,2,3,2,2,2,3,3,3, , 
1030,4,0,0, ,2,11.32782277,3,4,1,5,1,5,3,5,1,2,5,4,1,5,5,3,4,4,1,5,5,3,5,2,1,5,5,3,5,4,5,5,4,5,3,3,5,4,5,2,1,1,5,1,5,3,3,1,5,5,3,2,5,5,4,5,4,5,3,3,5,4.181818182,4.333333333
1033,1,0,0, ,1,11.36545789,1,3,2,4,2,3,4,4,4,3,4,4,3,4,3,3,3,4,4,3,4,4,3,2,3,3,3,2,3,4,3,3,3,3,2,3,3,3,3,4,4,3,4,3,2,2,2,3,4,3,4,3,2,2,4,3,3,3,4,3,3, , 
1033,4,0,0, ,1,11.37662785,1,3,2,4,1,4,4,3,3,3,4,4,2,4,3,4,3,3,3,2,4,4,4,3,3,3,4,2,3,2,3,2,3,4,3,5,4,3,3,3,4,3,4,3,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,1,3, , 
1034,1,0,1,1,2,11.13602058,1,2,1,5,1,3,5,5,2,4,4,4,1,5,5,4,3,5,1,5,5,5,5,1,3,4,3,1,5,1,5,5,5,5,4,5,5,1,4,4,4,2,5,1,4,1,1,1,5,5,5,5,4,5,5,5,2,3,2,1,4,2.909090909,2.888888889
1034,4,0,1,1,2,11.17221234,1,1,1,5,3,3,5,5,1,3,3,1,1,5,4,3,2,3,1,3,5,5,5,4, ,1,1,5,5,3,3,5,5,5,1,5,5,1,3,4,4,1,4,3,1,1,1,1,5,5,1,5,5,5,2,3,3, ,5,1,5,2.636363636,3.111111111
1035,1,0,0, ,1,10.96910224,2,4,4,5,2,5,3,3,4,2,5,5,3,5,5,3,4,4,1,4,5,3,3,1,5,5,4,4,4,3,5,3,4,5,3,5,4,5,5,4,5,1,4,4,5,3,3,3,2,3,2,1,2,5,5,2,4,1,3,1,5,3.5,4.222222222
1035,4,0,0, ,1,10.9660099,2,5,5,3,1,4,3,3,5,3,5,5,1,5,3,4,5,3,3,3,5,3, , , , , , , , , ,3,4,3,3,4,5,4,5,4,4,5,5,3,5,3,3,3,1,5, ,2,1,3, ,3,3, ,3,2,1,1.545454545,4.222222222
1036,1,0,0, ,1,11.14675029,1,4,2,4,1,4,2,2,3,3,4,4,3,4,4,4,3,3,2,4,2,2,4,2,3,4,3,3,4,4,3,4,5,4,2,3,4,4,4,3,4,2,4,4,4,4,4,2,4,3,3,2,3,4,4,2,3,3,4,3,4,3.363636364,3.666666667
1036,4,0,0, ,1,11.14662335,1,3,1,4,2,5,4,4,3,3,4,4,1,5,4,4,3,4,1,4,3,3,3,1,4,4,3,1,4,3,4,2,4,4,2,4,4,3,4,3,3,2,5,2,3,2,3,4,5,5,5,3,3,5,5,4,3,2,4,2,4,3,3.777777778
1037,1,0,0, ,2,11.28924199,2,3,2,5,1,5,4,3,1,5,5,3,1,5,3,5,3,4,5,4,5,3,4,1,1,4,5,4,5,3,4,5,4,5,1,3,3,3,4,3,5,1,1,4,5,2,3,1,4,5,2,3,5,1,5,2,1,5,5,3,5,4.363636364,4.333333333
1037,4,0,0, ,2,11.28997091,2,4,3,4,1,4,3,3,4,4,5,4,2,3,2,4,3,5,1,2,3,3,4,2,4,3,3,2,4,3,5,3,3,4,4,3,5,4,3,4,4,5,4,3,5,3,3,3,3,4,4,2,2,5,4,3,2,2,2,3,1,3.090909091,3.666666667
1039,1,0,0, ,1,11.11471402,1,3,3,3,3,3,3,3,4,2,5,5,3,3,3,3,4,4,3,3,5,2,2,5,3,3,3,3,3,2,4,3,3,3,2,2,4,4,3,3,4,1,5,3,4,3,4,3,3,3,3,2,2,3,1,3,4,3,4,4,5,2.818181818,3.111111111
1039,4,0,0, ,1,11.11478154,1,3,2,4,1,4,3,4,1,4,3,5,1,4,4,4,4,5,1,4,4,4,5,1,4,4,4,1,5,3,4,4,4,4,4,3,5,2,4,2,4,1,5,2,4,3,2,2,4,5,5,4,5,5,5,4,2,2,2,3,5,4.3,5
1041,1,0,0, ,1,11.08403836,2,4,1,4,1,5,5,5,3,5,5,5,2,5,3,4,5,4,3,2,3,2,5,3,4,5,5,1,4,2,3,1,3,4,4,4,5,2,4,2,1, ,4,4,1,1,4,5,5,4,5,4,3,3,3,2,1,2,2,2, , , 
1041,4,0,0, ,1,11.08426449,2,4,3,4,1,5,2,4,2,4,4,5,3,5,1,5,4,4,4,1,5,3,5,2,4,5,5,1,4,3,3,1,5,4,3,2,5,3,5,5,1,2,4,3,4,4,3,5,3,3,5,3,4,2,4,3,2,2,3,4,4, , 
1042,1,0,0, ,1,11.10276903,1,3,2,4,2,5,4,5,4,4,5,5,1,5,1,5,5,5,1,5,5,4,5,1,5,5,5,4,5,2,4,3,4,5,4,5,5,2,5,4,4,5,5,2,3,2,2,3,4,5,2,4,2,5,5,4,2,1,2,1,1,3.181818182,3.666666667
1042,4,0,0, ,1,11.11715843,1,5,1,4,1,5,4,5,1,5,5,5,1,5,3,5,5,5,1,4,5,2,5,1,5,5,5,1,5,1,5,3,5,5,5,5,5,1,4,1,5,3,4,1,5,2,4,3,5,5,5,5,5,5,5,5,1,1,1,1,3,2.818181818,3.666666667
1044,1,0,0, ,2,11.12574936,1,3,2,4,1,5,1,4,3,3,5,5,4,4,3,4,3,3,5,2,5,1,2,1,5,4,5,2,4,4,2,1,4,5,5,1,4,5,4, ,5,3,2,2,4,5,5,5,4,2,4,1,3,1,5,4,3,1,1,5,3,2.636363636,3.666666667
1044,4,0,0, ,2,11.12293527,1,5,2,4,1,5,1,4,4,2,5,5,2,5,2,4,4,4,5,4,5,1,4,1,4,4,5,1,5,1,4,1,4,5,4,1,5,2,4,4,4,1,5,5,4,5,5,5,4,4,5,4,2,1,5,1,4,2,2,5,5, , 
1046,1,0,0, ,1,11.67868235,2,4,4,4,2,2,3,3,4,4,5,5,2,5,4,4,4,3,1,5,3,2,4,3,2,4,4,3,5,4,4,4,4,5,2,5,5,4,3,3,5,2,2,4,3,3,4,2,2,4,3,2,2,5,3,2,2,4,4,1,4,3.636363636,3.666666667
1046,4,0,0, ,1,11.6807249,2,4,1,3,1,4,3,2,3,2,5,4,3,3,3,5,3,3,4,3,5,1,4,4,3,3,2,2,3,2,4,2,3,3,2,3,5,4,3,5,4,5,4,3,5,3,5,4,5,3,4,2,3,2,2,3,4,3,4,3,1,3.181818182,4.333333333
1047,1,0,0, ,2,11.17524409,3,5,1,5,1,2,1,5,1,2,5,4,1,5,5,1,4,4,1,5,5,1,4,2,1,2,5,1,5,2,5,4,5,5,1,5,5,1,4,4,4,1,5,1,4,5,5,2,5,5,5,5,5,5,4,5,4,5,5,1,5,3.181818182,4.555555556
1047,4,0,0, ,1,11.47805711,3,2,1,4,1,5,4,5,5,4,5,5,3,5,5,3,5,5,2,5,5,3,5,3,3,5,4,1,5,1,5,5,5,4,5,5,5,3,5,5,5,5,5,1,3,2,3,1,5,3,5,3,1,4,3,5,2,3,1,1,1,2.909090909,3.777777778
1048,1,0,0, ,2,11.34785285,2,4,3,4,1,5,4,4,3,4,5,5,1,5,2,5,5,5,4,1,5,2,5,1,5,5,5,1,5,1,5,2,5,5,5,4,5,1,5,1,4,5,5,1,5,2,4,4,3,5,5,5,3,2,5,5,2,1,1,2,1, , 
1048,4,0,0, ,2,11.3475251,2,5,3,3,1,5,3,2,4,1,5,5,1,4,4,4,5,4,5,2,5,2,4,5,5,5,3,4,2,5,5,4,4,4,4,1,5,2,2,5,5,1,5,4,5,3,4,2,3,5,2,4,2,1,1,2,5,1,2,5,5, , 
1049,1,0,0, ,1,11.38801991,3,3,3,3,1,5,2,3,4,4,5,5,4,4,4,2,3,3,4,3,4,2,4,3,3,3,4,1,2,3,4,3,2,3,2,2,3,3,3,4,4,3,4,5,2,4,4,3,3,2,5,3,2,2,3,1,2,3,4,4,3, , 
1049,4,0,0, ,2,11.38792459,3,4,2,5,1,4,3,4,4,3,4,5,3,5,3,3,4,4,3,4,5,4,4,1,3,3,4,1,3,4,5,2,5,4,4,1,5,4,4,3,5,4,5,5,2,3,2,4,4,3,5,2,2,3,5,1,3,3,2,5,2, , 
1051,1,0,0, ,2,11.12034112,2,5,2,3,1,4,2,5,3,2,5,5,1,4,4,5,5,4,1,4,4,2,4,2,3,4,4,1,4,1,5,3,4,4,4,3,4,2,3,1,4,4,4,5,4,4,4,3,4,5,5,4,3,5,4,1,4,3,2,3,2,4,4.222222222
1051,4,0,0, ,2,11.120262,2,2,2,4,3,3,4,4,3,4,3,4,2,4,4,4,3,2,2,4,3,3,3,2,4,3,3,4,4,4,4,4,3,3,2,3,3,3,3,2,4,3,3,2,3,2,3,2,4,4,2,3,3,4,4,4,2,2,4,3,3,3.636363636,3.888888889
1052,1,0,0, ,2,11.18208638,2,3,5,5,1,2,4,1,1,2,4,3,5,5,1,5,2,1,4,1,1,4,1,5,5,3,2,1,5,1,5,4,2,4,5,2,2,4,5,5,2,1,3,5,5,2,2,2,1,1,5,2,5,2,1,1,4,1,1,4,5,2.090909091,3.666666667
1052,4,0,0, ,2,11.18217865,2,4,4,3,3,5,3,5,5,1,4,4,2,2,4,3,4,5,1,5,4,2,4,3,1,5,4,1,5,4,4,3,4,4,1,1,5,2,2,5,4,3,4,2,3,3,4,3,2,4,5,4,1,5,3,4,5,5,5,5,3,3,4.222222222
1053,1,0,0, ,1,11.23968008,1,3,2,4,1,4,4,4,4,4,5,4,3,4,4,3,4,4,2,5,5,2,4,1,2,4,4,2,4,3,4,2,3,4,2,4,4,3,3,2,2,1,4,2,4,2,4,4,4,3,4,3,2,4,5,4,2,4,4,2,5,3.636363636,3.777777778
1053,4,0,0, ,1,11.23967168,1,4,1,1,1,4,2,4,5,2,4,5,4,4,5,4,5,4,4,4,5,2,4,2,2,1,2,4,4,4,5,5,4,4,2,2,4,4,5,4,2,4,5,4,4,4,4,1,5,2,2,2,1,2,4,2,4,4,4,4,2,3.545454545,4.222222222
1054,1,0,0, ,1,11.11956483,3,3,3,4,1,5,4,4,5,4,5,5,1,5,5,5,5,5,2,5,5,4,4,5,2,5,5,1,4,4,3,4,5,5,1,1,3,5,3,1,4,3,5,2,1,2,2,2,3,5,5,1,1,4,1,4,2,4,5,5,3,4.181818182,4.444444444
1054,4,0,0, ,2,11.13876201,3,3,2,4,1,4,3,4,2,3,5,5,2,3,4,2,4,3,3,2,5,3,4,2,4,3,4,1,4,3,4,4,5,3,2,4,5,3,4,2,3,3,3,4,3,3,3,2,4,4,5,3,4,3,4,2,3,2,4,2,3,3.181818182,3.555555556
1055,1,0,0, ,2,11.70854137,2,5,3,5,1,5,4,5,1,4,5,5,2,5,5,5,4,5,1,4,5,5,5,1,4,5,4,3,5,2,5,4,5,5,4,2,5,2,5,3,5,5,5,2,5,2,1,2,3,4,3,4,5,5,5,4,2,2,2,4,1,4,4.444444444
1055,4,0,0, ,2,11.15024397,2,5,5,4,1,4,1,5,2,3,3,3,4,4,3,4,4,3,3,3,5,3,3,2,2,3,5,3,3,1,5,4,4,5,3,2,5,1,2,3,4,1,5,3,4,5,3,2,1,2,3,5,4,3,4,3,3,4,3,4,5,2.636363636,3.888888889
1056,1,0,0, ,1,11.15818323,1,4,1,2,1,1,5,5,5,3,3,3,1,3,5,5,5,3,4,5,2,2,3,3,2,3,5,1,5,3,2,3,2,4,4,5,5,3,2,2,2,1,5,5,3,1,4,3,5,5,5,3,1,2,3,1,3,4,2,1,5,3.272727273,4.111111111
1056,4,0,0, ,1,11.28976928,1,2,1,2,1,3,2,4,4,2,5,4,2,4,4,2,3,3,3,3,4,2,4,2,2,3,4,2,4,4,3,2,4,4,2,4,4,4,4,4,2,2,4,2,4,4,4,4,5,4,4,2,2,3,4,4,4,4,4,2,4,2.636363636,3
1058,1,0,0, ,2,11.39579217,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,3.363636364,3.222222222
1058,4,0,0, ,2,11.39578751,1,2,4,4,5,3,4,4,4,4,5,3,1,4,4,3,4,3,3,4,5,5,4,2,2,4,3,1,4,3,4,4,4,3,3,4,5,3,3,3,4,2,5,3,4,2,1,2,2,5,5,3,2,3,4,3,2,4,3,2,4,4.090909091,3.666666667
1062,1,0,0, ,1,11.13327991,1,4,3,4,2,4,2,4,4,2,5,5,4,4,2,3,4,4,3,4,5,3,2,4,3,4,5,1,4,2,4,4,3,4,2,2,4,4,3,5,4,3,4,5,2,4,3,2,3,2,5,2,2,3,2,1,4,3,4,4,3,3.090909091,4.555555556
1062,4,0,0, ,1,11.13378521,1,5,3,4,1,4,1,5,3,3,5,5,2,5,2,5,5,5,3,5,5,3,1,1,4,5,4,1,5,4,4,4,5,5,2,1,5,1,5,1,5,1,4,3,5,5,3,2,3,4,5,5,3,3,5,3,3,2,4,5,5,3.545454545,3.666666667
1064,1,0,0, ,2,11.26506559,2,4,3,3,2,5,3,3,3,4,5,4,2,4,2,4,3,3,3,2,4,3,4,3,3,5,3,2,4,2,4,4,4,4,4,3,4,2,3,3,3,2,5,2,4,3,3,2,3,4,4,4,3,3,3,4,2,3,2,3,4,3.181818182,4.111111111
1064,4,0,0, ,2,11.27096446,2,4,2,5,1,4,3,5,3,3,5,4,2,5,4,5,4,4,1,4,4,2,4,1,2,4,5,3,5,4,5,3,4,5,3,3,5,1,5,3,4,4,3,5,5,3,4,3,4,4,3,5,3,5,5,1,3,4,3,3,2,4.181818182,4.666666667
1066,1,0,0, ,2,10.95802786,1,4,2,3,1,3,1,4,4,2,5,5,2,3,4,3,4,3,2,1,4,1,4,2,2,1,2,1,3,1,2,1,3,3,2,3,5,4,3,1,1,3,4,2,3,5,5,5,4,4,5,2,2,4,4,4,4,4,4,3,3,3.181818182,4.333333333
1066,4,0,0, ,2,10.97222013,1,3,2,3,1,3,2,3,2,3,5,4,3,3,4,3,4,4,3,4,3,2,5,3,3,3,4,2,3,2,5,2,5,3,3,2,4,2,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,2,3,3,3,4,3,3.636363636,3.888888889
1068,1,0,0, ,2,11.06515505,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.636363636,3.777777778
1069,1,0,0, ,1,11.00222137,1,2,2,2,2,3,2,4,2,4,5,3,2,3,4,2,2,4,4,2,2,5,3,2,4,2,4,2,3,4,5,5,2,3,2,2,4,2,3,2,4,4,4,2,2,4,1,1,4,4,4,4,4,2,4,4,2,2,4,4,2,3.636363636,3.777777778
1069,4,0,0, ,1,11.01297371,1,2,2,2,1,2,3,4,2,4,4,4,1,4,2,2,3,4,3,2,5,4,4,1,2,4,4,1,4,3,4,3,4,4,2,3,4,1,3,3,4,3,3,2,2,3,2,3,4,5,5,5,4,3,5,4,2,4,4,3,3,3.636363636,3.333333333
1070,1,1,0, ,2,11.32922656,3,3,2,3,1,5,3,5,3,4,3,5,1,5,3,3,4,4,3,2,1,3,5,1,3,4,3,1,3,2,5,2,4,4,2,4,5,3,4,4,3,4,4,4,5,3,3,4,4,5,5,3,3,3,5,2,2,3,4,2,2, , 
1070,4,1,0, ,1,11.32922656,3,3,2,1,1,4,3,5,1,5,5,3,1,4,5,5,4,4,1,4,5,3,5,1,4,4,5,1,5,2,4,1,5,5,1,5,5,1,5,4,5,1,5,1,5,3,3,5,4,5,5,5,5,5,5,5,1,2,5,1,5, , 
1071,1,0,0, ,1,11.26795602,2,3,5,5,3,3,1,3,5,1,4,4,2,4,5,5,5,2,1,5,5,5,4,3,3,4,3,3,5,5,5,1,4,4,1,1,5,1,4,5,5,3,5,1,5,5,1,5,1,4,3,5,1,5,3,5,5,3,5,5,3,3.272727273,3.333333333
1071,4,0,0, ,1,11.26796087,2,5,2,5,1,5,2,2,3,4,5,5,2,4,2,4,4,4,1,3,4,4,2,1,4,3,4,2,5,2,4,3,4,3,4,1,4,3,3,1,3,3,5,2,3,4,2,3,4,4,4,3,3,5,5,4,2,2,2,5,3,2.909090909,4
1072,1,0,0, ,1,11.12303439,2,3,2,3,1,4,4,5,4,5,3,3,1,5,4,4,4,4,2,5,3,4,5,3,4,3,2,1,3, ,3,1,5,3,3,3,5,4,4,2,3,3,5,2,2,2,2,5,4,5,5,2,2,4,3,4,1,2,3,3,3, , 
1072,4,0,0, ,1,11.12259047,2,4,2,4,3,5,3,4,2,3,5,5,4,4,5,5,4,3,1, ,2,2,4,1,3,5,5,4,4,4,5,4,3,5,4,5,4,3,5,3,4,1,5,2,5,3,4,2,4,2,2,3,4,5,5,4,3,3,2,1,5, , 
1074,1,0,0, ,2,11.17201359,2,3,2,4,1,3,4,3,1,4,4,4,2,4,4,3,4,3,2,4,3,3,3,2,2,3,3,2,3,1,4,4,3,4,2,3,4,2,4,2,3,2,4,2,3,2,3,2,4,4,4,4,5,4,4,4,2,4,4,3,4,3.636363636,4.222222222
1074,4,0,0, ,2,11.17200804,2,4,3,4,2,3,3,4,2,2,3,4,4,5,4,3,4,2,2,4,3,2,4,3,3,3,5,4,4,2,4,4,3,4,2,4,4,3,4,1,3,2,3,2,4,3,4,2,3,2,2,3,4,4,3,4,4,3,4,2,4,3.272727273,4
1077,1,0,0, ,1,11.19373359,2,3,3,1,1,4,2,3,4,3,5,5,3,5,3,4,4,3,5,1,5,1,5,4,5,4,5,1,3,1,1,2,2,2,3,2,5,2,2,2,4,1,5,2,4,4,5,4,3,3,5,4,2,1,2,4,3,1,3,4,5,3,4.222222222
